Orden;Nombre;Region;Direcci�n;Correo Contacto;Horario Atencion;URL Foto;Tel�fono;URL;Aprobado
16;Biblioteca San Fernando;Zona Centro Sur;Carampagne 1058, San Fernando;dae.sanfernando@aiep.cl;Horario de atenci�n: Lunes a Viernes 08:30 a 21:00 horas S�bados de 09:30 a 18:00 horas;https://bibliotecas.aiep.cl/custom/web/content/bannerbiblio_valparaiso.jpg;"
";https://bibliotecas.aiep.cl/client/en_US/default?rm=BIBLIOTECA+SAN5%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue;Si
17;Biblioteca Curic�;Zona Centro Sur;Avenida Libertador Bernardo O'Higgins 201, Curic�, Maule;dae.Curic�@aiep.cl;Horario de atenci�n: Lunes a Viernes 08:30 a 21:30 horas S�bados de 09:00 a 18:00 horas;https://bibliotecas.aiep.cl/custom/web/content/bannerbiblio_curico.jpg;Fonos: 075-2574513 - 075-2574506;https://bibliotecas.aiep.cl/client/en_US/default?rm=BIBLIOTECA+CUR0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue;Si
18;Biblioteca Talca;Zona Centro Sur;6 Oriente 1380, Talca;dae.talca@aiep.cl;Horario de atenci�n: Lunes a Viernes 08:30 a 21:30 horas S�bados de 09:00 a 18:00 horas;https://bibliotecas.aiep.cl/custom/web/content/bannerbiblio_talca.jpg;"
";https://bibliotecas.aiep.cl/client/en_US/default?rm=BIBLIOTECA+TAL0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue;Si
19;Concepci�n Biblioteca Barros;Zona Sur;Barros Arana 302, Concepci�n;dae.concepcion@aiep.cl;Horario de atenci�n: Lunes a Viernes 08:30 a 21:30 horas S�bados de 09:00 a 18:00 horas;https://bibliotecas.aiep.cl/custom/web/content/bannerbiblio_conce_a.jpg;"
";https://bibliotecas.aiep.cl/client/en_US/default/?rm=BIBLIOTECA+CON0%7C%7C%7C1%7C%7C%7C1%7C%7C%7Ctrue;Si
20;Concepci�n Biblioteca Prat;Zona Sur;Avda. Prat 288, Concepci�n;dae.concepcion@aiep.cl;Horario de atenci�n: Lunes a Viernes 08:30 a 21:30 horas S�bados de 09:00 a 18:00 horas;https://bibliotecas.aiep.cl/custom/web/content/bannerbiblio_conce_prat.jpg;"
";https://bibliotecas.aiep.cl/client/en_US/default/?rm=BIBLIOTECA+AV.0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue;Si
21;Biblioteca Los Angeles;Zona Sur;Mendoza 438, Los �ngeles;dae.losangeles@aiep.cl;Horario de atenci�n: Lunes a Viernes 08:30 a 21:30 horas S�bados de 08:30 a 18:30 horas;https://bibliotecas.aiep.cl/custom/web/content/bannerbiblio_angeles.jpg;"
";https://bibliotecas.aiep.cl/client/en_US/default?rm=BIBLIOTECA+LOS0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue;Si
22;Biblioteca Temuco;Zona Sur;Avda. Alemania 035, Temuco;dae.temuco@aiep.cl;Horario de atenci�n: Lunes a Viernes 08:30 a 21:30 horas S�bados de 09:00 a 18:00 horas;https://bibliotecas.aiep.cl/custom/web/content/bannerbiblio_temuco.jpg;"
";https://bibliotecas.aiep.cl/client/en_US/default?rm=BIBLIOTECA+TEM0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue;Si
23;Biblioteca Osorno;Zona Sur;Patricio Lynch 1462, Osorno;dae.osorno@aiep.cl;Horario de atenci�n: Lunes a Viernes 08:30 a 21:30 horas S�bados de 08:30 a 18:30 horas;https://bibliotecas.aiep.cl/custom/web/content/bannerbiblio_osorno.jpg;"
";https://bibliotecas.aiep.cl/client/en_US/default?rm=BIBLIOTECA+OSO0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue;Si
24;Puerto Montt Biblioteca Ej�rcito;Zona Sur;Ej�rcito 200, Puerto Montt;dae.puertomontt@aiep.cl;Horario de atenci�n: Lunes a Viernes 08:30 a 21:30 horas S�bados de 09:00 a 18:00 horas;https://bibliotecas.aiep.cl/custom/web/content/puerto montt ejercito.JPG;"
";https://bibliotecas.aiep.cl/client/en_US/default/?rm=BIBLIOTECA+PUE0%7C%7C%7C1%7C%7C%7C1%7C%7C%7Ctrue;Si
25;Puerto Montt Biblioteca Benavente;Zona Sur;Benavente 720, Puerto Montt;dae.puertomontt@aiep.cl;Horario de atenci�n: Lunes a Viernes 08:30 a 21:30 horas S�bados de 09:00 a 18:00 horas;https://bibliotecas.aiep.cl/custom/web/content/bannerbiblio_generica.jpg;"
";https://bibliotecas.aiep.cl/client/en_US/default/?rm=BIBLIOTECAS+BE0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue;Si
26;Biblioteca Castro;Zona Sur;O�Higgins 801;dae.castro@aiep.cl;Horario de atenci�n: Lunes a Viernes 08:30 a 21:00 horas S�bados de 09:30 a 18:00 horas;https://bibliotecas.aiep.cl/custom/web/content/bannerbiblio_castro.jpg;Fonos:�65 2386894 - 65 2386877;https://bibliotecas.aiep.cl/client/en_US/default?rm=BIBLIOTECA+CAS0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue;Si
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
